VirtualMachine [vmId=1, state=RUNNING, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=3, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=506, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=505, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=507, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=504, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=503, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=2, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=1, state=RUNNING, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=3, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=570, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=568, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=572, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=571, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=569, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=6] allocated to server with id: 6
VirtualMachine [vmId=3, state=RUNNING, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=4, state=RUNNING, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=5, state=RUNNING, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=2, state=RUNNING, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=1, state=RUNNING, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=6] allocated to server with id: 6
VirtualMachine [vmId=665, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=11] allocated to server with id: 11
VirtualMachine [vmId=677, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=655, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=12] allocated to server with id: 12
VirtualMachine [vmId=644, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=13] allocated to server with id: 13
VirtualMachine [vmId=650, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=12] allocated to server with id: 12
VirtualMachine [vmId=636, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=674, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=7] allocated to server with id: 7
VirtualMachine [vmId=653, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=7] allocated to server with id: 7
VirtualMachine [vmId=678, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=15] allocated to server with id: 15
VirtualMachine [vmId=651, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=4] allocated to server with id: 4
VirtualMachine [vmId=660, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=12] allocated to server with id: 12
VirtualMachine [vmId=643, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=7] allocated to server with id: 7
VirtualMachine [vmId=637, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=5] allocated to server with id: 5
VirtualMachine [vmId=649, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=13] allocated to server with id: 13
VirtualMachine [vmId=656, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=14] allocated to server with id: 14
VirtualMachine [vmId=634, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=2] allocated to server with id: 2
VirtualMachine [vmId=654, state=Running, name=vm1.small, vmMips=400, cpu=1, ram=2, hdd=2, server=18] allocated to server with id: 18
VirtualMachine [vmId=666, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=640, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=10] allocated to server with id: 10
VirtualMachine [vmId=646, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=8] allocated to server with id: 8
VirtualMachine [vmId=673, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=15] allocated to server with id: 15
VirtualMachine [vmId=672, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=17] allocated to server with id: 17
VirtualMachine [vmId=663, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=15] allocated to server with id: 15
VirtualMachine [vmId=671, state=Running, name=vm1.large, vmMips=800, cpu=3, ram=4, hdd=2, server=20] allocated to server with id: 20
VirtualMachine [vmId=652, state=Running, name=vm1.xlarge, vmMips=1000, cpu=4, ram=5, hdd=2, server=3] allocated to server with id: 3
VirtualMachine [vmId=635, state=Running, name=vm1.medium, vmMips=600, cpu=2, ram=3, hdd=2, server=10] allocated to server with id: 10
VirtualMachine [vmId=638, state=Running, name=vm1.tiny, vmMips=250, cpu=1, ram=1, hdd=1, server=18] allocated to server with id: 18
